"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"10028",1,0.068421052631579,0.128078817733990,13,7,9,"(0.6,0.8]"
"10029",0.818181818181818,0.0473684210526316,0.0895522388059701,11,7,9,"(0.6,0.8]"
"10030",1,0.0263157894736842,0.0512820512820513,5,7,9,"(0.6,0.8]"
"10031",0.954545454545455,0.110526315789474,0.19811320754717,22,7,9,"(0.6,0.8]"
"10032",0.826086956521739,0.1,0.178403755868545,23,7,9,"(0.6,0.8]"
"10033",0.892857142857143,0.131578947368421,0.229357798165138,28,7,9,"(0.6,0.8]"
"10034",1,0.0210526315789474,0.0412371134020619,4,7,9,"(0.6,0.8]"
"10035",0.818181818181818,0.0473684210526316,0.0895522388059701,11,7,9,"(0.6,0.8]"
"10036",1,0.0736842105263158,0.137254901960784,14,7,9,"(0.6,0.8]"
"10037",0.823529411764706,0.0736842105263158,0.135265700483092,17,7,9,"(0.6,0.8]"
"10038",0.941176470588235,0.0842105263157895,0.154589371980676,17,7,9,"(0.6,0.8]"
"10039",0.857142857142857,0.0631578947368421,0.117647058823529,14,7,9,"(0.6,0.8]"
"10040",0.833333333333333,0.0263157894736842,0.0510204081632653,6,7,9,"(0.6,0.8]"
"10041",0.95,0.1,0.180952380952381,20,7,9,"(0.6,0.8]"
"10042",0.777777777777778,0.0736842105263158,0.134615384615385,18,7,9,"(0.6,0.8]"
"10043",1,0.0578947368421053,0.109452736318408,11,7,9,"(0.6,0.8]"
"10044",0.714285714285714,0.0263157894736842,0.050761421319797,7,7,9,"(0.6,0.8]"
"10045",0.857142857142857,0.0315789473684211,0.0609137055837563,7,7,9,"(0.6,0.8]"
"10046",0.875,0.110526315789474,0.196261682242991,24,7,9,"(0.6,0.8]"
"10047",0.838709677419355,0.136842105263158,0.235294117647059,31,7,9,"(0.6,0.8]"
"10048",0.8,0.0421052631578947,0.08,10,7,9,"(0.6,0.8]"
"10049",0.91304347826087,0.110526315789474,0.197183098591549,23,7,9,"(0.6,0.8]"
"10050",0.8125,0.068421052631579,0.126213592233010,16,7,9,"(0.6,0.8]"
