"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"4871",4871,0.904761904761905,0.830601092896175,0.866096866096866,168,1,3,0.01,0.005
"4872",4872,0.839080459770115,0.797814207650273,0.817927170868347,174,1,3,0.01,0.005
"4873",4873,0.900621118012422,0.792349726775956,0.843023255813953,161,1,3,0.01,0.005
"4874",4874,0.909604519774011,0.879781420765027,0.894444444444444,177,1,3,0.01,0.005
"4875",4875,0.900621118012422,0.792349726775956,0.843023255813953,161,1,3,0.01,0.005
"4876",4876,0.967741935483871,0.819672131147541,0.887573964497042,155,1,3,0.01,0.005
"4877",4877,0.972027972027972,0.759562841530055,0.852760736196319,143,1,3,0.01,0.005
"4878",4878,0.932203389830508,0.901639344262295,0.916666666666667,177,1,3,0.01,0.005
"4879",4879,0.89090909090909,0.80327868852459,0.844827586206896,165,1,3,0.01,0.005
"4880",4880,0.894444444444444,0.879781420765027,0.887052341597796,180,1,3,0.01,0.005
"4881",4881,0.95,0.830601092896175,0.886297376093295,160,1,3,0.01,0.005
"4882",4882,0.897727272727273,0.863387978142076,0.880222841225627,176,1,3,0.01,0.005
"4883",4883,0.921787709497207,0.901639344262295,0.911602209944751,179,1,3,0.01,0.005
"4884",4884,0.895027624309392,0.885245901639344,0.89010989010989,181,1,3,0.01,0.005
"4885",4885,0.937888198757764,0.825136612021858,0.877906976744186,161,1,3,0.01,0.005
"4886",4886,0.855421686746988,0.775956284153005,0.813753581661891,166,1,3,0.01,0.005
"4887",4887,0.927152317880795,0.765027322404372,0.838323353293413,151,1,3,0.01,0.005
"4888",4888,0.832369942196532,0.78688524590164,0.808988764044944,173,1,3,0.01,0.005
"4889",4889,0.894117647058824,0.830601092896175,0.861189801699717,170,1,3,0.01,0.005
"4890",4890,0.974683544303797,0.841530054644809,0.903225806451613,158,1,3,0.01,0.005
"4891",4891,0.95906432748538,0.896174863387978,0.926553672316384,171,1,3,0.01,0.005
"4892",4892,0.907407407407407,0.80327868852459,0.852173913043478,162,1,3,0.01,0.005
"4893",4893,0.919463087248322,0.748633879781421,0.825301204819277,149,1,3,0.01,0.005
"4894",4894,0.935294117647059,0.868852459016393,0.90084985835694,170,1,3,0.01,0.005
"4895",4895,0.921348314606742,0.896174863387978,0.908587257617729,178,1,3,0.01,0.005
"4896",4896,0.948051948051948,0.797814207650273,0.86646884272997,154,1,3,0.01,0.005
"4897",4897,0.936305732484076,0.80327868852459,0.864705882352941,157,1,3,0.01,0.005
"4898",4898,0.89247311827957,0.907103825136612,0.899728997289973,186,1,3,0.01,0.005
"4899",4899,0.892857142857143,0.819672131147541,0.854700854700855,168,1,3,0.01,0.005
"4900",4900,0.8875,0.775956284153005,0.82798833819242,160,1,3,0.01,0.005
"4901",4901,0.953488372093023,0.896174863387978,0.923943661971831,172,1,3,0.01,0.005
"4902",4902,0.921787709497207,0.901639344262295,0.911602209944751,179,1,3,0.01,0.005
"4903",4903,0.884848484848485,0.797814207650273,0.839080459770115,165,1,3,0.01,0.005
"4904",4904,0.784037558685446,0.912568306010929,0.843434343434343,213,1,3,0.01,0.005
"4905",4905,0.898809523809524,0.825136612021858,0.86039886039886,168,1,3,0.01,0.005
"4906",4906,0.926966292134832,0.901639344262295,0.914127423822715,178,1,3,0.01,0.005
"4907",4907,0.898305084745763,0.868852459016393,0.883333333333333,177,1,3,0.01,0.005
"4908",4908,0.92948717948718,0.792349726775956,0.855457227138643,156,1,3,0.01,0.005
