"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"14076",14076,0.799442896935933,0.686602870813397,0.738738738738739,359,1,3,0.01,0.01
"14077",14077,0.517241379310345,0.179425837320574,0.266429840142096,145,1,3,0.01,0.01
"14078",14078,0.868913857677903,0.555023923444976,0.677372262773723,267,1,3,0.01,0.01
"14079",14079,0.917073170731707,0.449760765550239,0.603531300160514,205,1,3,0.01,0.01
"14080",14080,0.80857142857143,0.677033492822967,0.736979166666667,350,1,3,0.01,0.01
"14081",14081,0.796875,0.610047846889952,0.691056910569106,320,1,3,0.01,0.01
"14082",14082,0.848484848484849,0.4688995215311,0.604006163328197,231,1,3,0.01,0.01
"14083",14083,0.823717948717949,0.614832535885168,0.704109589041096,312,1,3,0.01,0.01
"14084",14084,0.88212927756654,0.555023923444976,0.681350954478708,263,1,3,0.01,0.01
"14085",14085,0.92063492063492,0.555023923444976,0.692537313432836,252,1,3,0.01,0.01
"14086",14086,0.641379310344828,0.222488038277512,0.330373001776199,145,1,3,0.01,0.01
"14087",14087,0.811671087533157,0.732057416267943,0.769811320754717,377,1,3,0.01,0.01
"14088",14088,0.806451612903226,0.538277511961722,0.645624103299857,279,1,3,0.01,0.01
"14089",14089,0.785714285714286,0.578947368421053,0.666666666666667,308,1,3,0.01,0.01
"14090",14090,0.762273901808786,0.705741626794258,0.732919254658385,387,1,3,0.01,0.01
"14091",14091,0.414634146341463,0.0813397129186603,0.136,82,1,3,0.01,0.01
"14092",14092,0.601626016260163,0.354066985645933,0.445783132530121,246,1,3,0.01,0.01
"14093",14093,0.5,0.0119617224880383,0.0233644859813084,10,1,3,0.01,0.01
"14094",14094,0.762857142857143,0.638755980861244,0.6953125,350,1,3,0.01,0.01
"14095",14095,0.711009174311927,0.741626794258373,0.725995316159251,436,1,3,0.01,0.01
"14096",14096,0.839285714285714,0.22488038277512,0.354716981132075,112,1,3,0.01,0.01
"14097",14097,0.879725085910653,0.61244019138756,0.722143864598025,291,1,3,0.01,0.01
"14098",14098,0.809659090909091,0.681818181818182,0.74025974025974,352,1,3,0.01,0.01
"14099",14099,0.881756756756757,0.624401913875598,0.73109243697479,296,1,3,0.01,0.01
"14100",14100,0.900826446280992,0.521531100478469,0.66060606060606,242,1,3,0.01,0.01
"14101",14101,0.804347826086957,0.708133971291866,0.753180661577608,368,1,3,0.01,0.01
"14102",14102,0.859281437125748,0.686602870813397,0.763297872340426,334,1,3,0.01,0.01
"14103",14103,0.897526501766785,0.607655502392344,0.724679029957204,283,1,3,0.01,0.01
"14104",14104,0.911458333333333,0.41866028708134,0.573770491803279,192,1,3,0.01,0.01
